plz,stadtteil,preis,groesse,zimmer,a_name,link
14193,Grunewald,900000,116.0,3.0,grunewald-und-garten-herrliche-3-zimmer-etw-in-sued-west-lage-mit-terrasse-und-weitlaeufigem-garten,https://www.ebay-kleinanzeigen.de/s-anzeige/grunewald-und-garten-herrliche-3-zimmer-etw-in-sued-west-lage-mit-terrasse-und-weitlaeufigem-garten/2155917979-196-24194
10559,Mitte,439000,90.8,3.0,einziehen-und-wohlfuehlen-traumwohnung-im-stephankiez-,https://www.ebay-kleinanzeigen.de/s-anzeige/einziehen-und-wohlfuehlen-traumwohnung-im-stephankiez-/2155903209-196-9673
12249,Steglitz,225000,63.0,2.5,kapitalanlage-in-zentraler-lage-von-berlin-lankwitz,https://www.ebay-kleinanzeigen.de/s-anzeige/kapitalanlage-in-zentraler-lage-von-berlin-lankwitz/2077582283-196-3423
12347,Neukölln,334400,76.02,2.0,einzigartiger-2-stoeckiger-erdgeschossrohling-mit-zwei-nutzbaren-kellerraeumen-in-britz,https://www.ebay-kleinanzeigen.de/s-anzeige/einzigartiger-2-stoeckiger-erdgeschossrohling-mit-zwei-nutzbaren-kellerraeumen-in-britz/2048950822-196-3389
10437,Prenzlauer,498700,103.0,3.0,wertanlage-im-helmholtzkiez-kiez,https://www.ebay-kleinanzeigen.de/s-anzeige/wertanlage-im-helmholtzkiez-kiez/2077768896-196-3491
10317,Rummelsburg,585700,84.0,3.0,3-zimmer-altbauwohnung-in-der-victoriastadt,https://www.ebay-kleinanzeigen.de/s-anzeige/3-zimmer-altbauwohnung-in-der-victoriastadt/2077748954-196-25915
12347,Neukölln,333333,78.5,3.0,-verkauft-,https://www.ebay-kleinanzeigen.de/s-anzeige/-verkauft-/2103772093-196-3389
12249,Steglitz,235000,66.03,2.0,vermietete-eigentumswohnung-als-solide-kapitalanlage-in-beliebter-lage,https://www.ebay-kleinanzeigen.de/s-anzeige/vermietete-eigentumswohnung-als-solide-kapitalanlage-in-beliebter-lage/2019851555-196-3423
13158,Pankow,231000,48.21,2.0,-wilhemsruh-gartenwohnung-innenhof-,https://www.ebay-kleinanzeigen.de/s-anzeige/-wilhemsruh-gartenwohnung-innenhof-/2049282710-196-3470
10119,Mitte,350000,57.35,2.0,vermietete-2-zimmer-wohnung-im-scheunenviertel-hohes-preissteigerungs-potential-kein-eigenbedarf,https://www.ebay-kleinanzeigen.de/s-anzeige/vermietete-2-zimmer-wohnung-im-scheunenviertel-hohes-preissteigerungs-potential-kein-eigenbedarf/2103910270-196-3519
12357,Buckow,339000,50.35,2.0,moderne-attraktive-wohnung-mit-dachterrasse,https://www.ebay-kleinanzeigen.de/s-anzeige/moderne-attraktive-wohnung-mit-dachterrasse/2104048915-196-23581
